mnc,year,sector,upe_code,upe_name,jur_code,jur_name,total_revenues,profit_before_tax,tax_paid,employees,tangible_assets,tax_accrued,unrelated_revenues,related_revenues,stated_capital,accumulated_earnings,currency
ACS,2020,Construction,ESP,Spain,ISR,Israel,NA,747000,-307000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2020,Construction,ESP,Spain,CZE,Czechia,NA,1753000,94000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2020,Construction,ESP,Spain,LUX,Luxembourg,NA,40042000,3991000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2020,Construction,ESP,Spain,NLD,Netherlands,NA,72000,10000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2020,Construction,ESP,Spain,COL,Colombia,NA,-23411000,42000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2020,Construction,ESP,Spain,FRA,France,NA,4747000,248000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2020,Construction,ESP,Spain,PAN,Panama,NA,5159000,464000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2020,Construction,ESP,Spain,IND,India,NA,-6189000,449000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2020,Construction,ESP,Spain,ITA,Italy,NA,476000,0,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2020,Construction,ESP,Spain,JPN,Japan,NA,-5093000,1000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2020,Construction,ESP,Spain,BWA,Botswana,NA,27705000,2330000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2020,Construction,ESP,Spain,HKG,Hong Kong,NA,-13192000,4935000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2020,Construction,ESP,Spain,ECU,Ecuador,NA,7656000,1191000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2020,Construction,ESP,Spain,OTHER,Other,NA,-69748000,4067000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2021,Construction,ESP,Spain,ESP,Spain,NA,-17792000,10331000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2021,Construction,ESP,Spain,USA,United States of America,NA,202678000,101011000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2021,Construction,ESP,Spain,AUS,Australia,NA,282780000,-15094000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2021,Construction,ESP,Spain,CAN,Canada,NA,-139104000,28452000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2021,Construction,ESP,Spain,GBR,United Kingdom,NA,22540000,-132000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2021,Construction,ESP,Spain,POL,Poland,NA,-671000,319000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2021,Construction,ESP,Spain,NZL,New Zealand,NA,-121651000,2000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2021,Construction,ESP,Spain,CHL,Chile,NA,-10443000,2448000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2021,Construction,ESP,Spain,DEU,Germany,NA,-204267000,5048000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2021,Construction,ESP,Spain,PRT,Portugal,NA,-422000,1062000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2021,Construction,ESP,Spain,ARG,Argentina,NA,2486000,226000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2021,Construction,ESP,Spain,CZE,Czechia,NA,-127000,623000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2021,Construction,ESP,Spain,PER,Peru,NA,5152000,553000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2021,Construction,ESP,Spain,IND,India,NA,4706000,-2324000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2021,Construction,ESP,Spain,LUX,Luxembourg,NA,37901000,2124000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2021,Construction,ESP,Spain,SGP,Singapore,NA,-15626000,4985000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2021,Construction,ESP,Spain,MEX,Mexico,NA,53658000,91000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2021,Construction,ESP,Spain,IDN,Indonesia,NA,-30372000,1450000,NA,NA,NA,NA,NA,NA,NA,EUR
