company_name,Inactive,listed,Branch,OwnData,country_iso,nace_code,bvd_id,nace_section,NACE Rev. 2 main section.1,bvd_sector,revenue_eur_2025,revenue_eur_2024,revenue_eur_2023,revenue_eur_2022,revenue_eur_2021,revenue_eur_2020,employees_2024,employees_2025,employees_2023,employees_2022,employees_2021,employees_2020,consolidation_code,website,isin,legal_form,date_incorporation,guo_name,guo_bvd_id,guo_country_iso,_source,total_assets_eur_2025,total_assets_eur_2024,total_assets_eur_2023,total_assets_eur_2022,total_assets_eur_2021,total_assets_eur_2020,orbis_sources,regime_classification
"DZ BANK AG, DEUTSCHE ZENTRAL - GENOSSENSCHAFTSBANK, FRANKFURT-AM-MAIN",No,No,No,No,DE,,GBFC011074,,,,,32414939.6473015,27861333.1834495,32757621.9253105,36361694.872297,25862320.9454753,26193.0,,26179.0,25863.0,25557.0,24712.0,C2,www.dzbank.de/content/dzbank_de/de/home,,Foreign companies,1981-09-22 00:00:00,,,,large_mne,,,,,,,large_mne,EU_2021_2101
EIR INVEST HOLDING AB,No,No,No,No,SE,6629.0,SE5591660625,K - Financial and insurance activities,,"Banking, Insurance & Financial Services",,95020.7658284062,10499.9358116924,,,,,,32.0,,,,C2,,,Private limited companies,2018-07-16 00:00:00,EIR INVEST HOLDING AB,SE5591660625,SE,bank,,89265.1816064222,65717.5379495317,,,,bank,CRD_IV
COLISEE GROUP,No,No,No,No,FR,6420.0,FR888238250,K - Financial and insurance activities,K - Financial and insurance activities,Business Services,,,1597000.0,1493000.0,,,,,20931.0,,,,C2,eqtgroup.com,,Private limited companies,2020-08-17 00:00:00,EQT INFRASTRUCTURE V S.A R.L. SICAV-RAIF - EUR,LULEI2412518,LU,large_mne,,,,,,,large_mne,CRD_IV
GESTFAR PATRIMOINE LUXEMBOURG S.C.A.,No,No,No,No,LU,6420.0,LULB164851,K - Financial and insurance activities,K - Financial and insurance activities,Business Services,,2189901.0,2238225.0,,,,11597.0,,11565.0,,,,C2,,,Partnerships,2011-11-28 00:00:00,GESTFAR PATRIMOINE LUXEMBOURG S.C.A.,LULB164851,LU,large_mne,,,,,,,large_mne,EU_2021_2101|CRD_IV
OCTIUM HOLDING S.A.,No,No,No,No,LU,6511.0,LUFEI3003436,K - Financial and insurance activities,,"Banking, Insurance & Financial Services",,,720503.0,421764.0,318559.0,192950.0,,,,,,,C1,www.octiumgroup.com,,Public limited companies,,,,,bank,,,8576837.0,8536809.0,9884335.0,4259382.0,bank,CRD_IV
CELERO CAPITAL TOPCO AB,No,No,No,No,SE,6499.0,SE5593828691,K - Financial and insurance activities,,"Banking, Insurance & Financial Services",,6255.71694037729,3272.89921581897,,,,7.0,,,,,,C2,,,Private limited companies,2022-05-30 00:00:00,CELERO CAPITAL TOPCO AB,SE5593828691,SE,bank,,9426.68578622224,7191.43809410427,,,,bank,CRD_IV
GALILEO GLOBAL EDUCATION STRATEGY,No,No,No,No,FR,6420.0,FR879031110,K - Financial and insurance activities,K - Financial and insurance activities,Business Services,,,,869000.0,676000.0,,,,,7600.0,,,C1,www.ggeedu.com,,Private limited companies,2019-11-14 00:00:00,GALILEO GLOBAL EDUCATION STRATEGY,FR879031110,FR,large_mne,,,,,,,large_mne,CRD_IV
COLISEE CARE,No,No,No,No,FR,6420.0,FR888238219,K - Financial and insurance activities,K - Financial and insurance activities,Business Services,,,1597000.0,1493000.0,1257000.0,,,,20931.0,,,,C2,,,Private limited companies,2020-08-17 00:00:00,EQT INFRASTRUCTURE V S.A R.L. SICAV-RAIF - EUR,LULEI2412518,LU,large_mne,,,,,,,large_mne,CRD_IV
GLOBAL TIP HOLDINGS TWO B.V.,No,No,No,No,NL,6420.0,NL58146369,K - Financial and insurance activities,K - Financial and insurance activities,Business Services,,1190400.0,,1133600.0,,,,,3237.0,,,2779.0,C1,,,Private limited companies,2013-06-13 00:00:00,"ISQ GLOBAL INFRASTRUCTURE FUND II, L.P.",KYLEI590615,KY,large_mne,,,,,,,large_mne,CRD_IV
ALBEA GROUP S.A.S.,No,No,No,No,LU,6420.0,LULB221112,K - Financial and insurance activities,K - Financial and insurance activities,Business Services,,1197624.0,1133607.0,,,,11762.0,,11989.0,,,,C2,,,Public limited companies,2018-01-12 00:00:00,PAI EUROPE VI-1,LULB188113,LU,large_mne,,,,,,,large_mne,EU_2021_2101|CRD_IV
SMURFIT WESTROCK PLC,No,Yes,No,No,IE,1721.0,IE607515,C - Manufacturing,C - Manufacturing,"Wood, Furniture & Paper Manufacturing",35704583.6678974,25490703.7594489,37249867.1502063,,,,,,,,,,C1,www.smurfitkappa.com,,Public limited companies,1934,SMURFIT WESTROCK PLC,IE607515,IE,large_mne,,,,,,,large_mne,EU_2021_2101
SOCIETE DE PARTICIPATIONS FINANCIERES CHAUVIN - SPFC,No,No,No,No,FR,6430.0,FR492664842,K - Financial and insurance activities,,"Banking, Insurance & Financial Services",,80480.841,,81219.428,,,,,,163.0,,,C2,,,Private limited companies,2006-11-02 00:00:00,MR THIERRY CHAUVIN,FR*82529466,FR,bank,,0.0,,47656.731,,,bank,CRD_IV
EMERAM B&M CONTINUATION FUND GMBH & CO. KG,No,No,No,No,DE,6600.0,DE8171265473,K - Financial and insurance activities,,"Banking, Insurance & Financial Services",,,,,67394.623,,,,,,,,C2,www.emeram.com,,Private limited companies,2021-10-18 00:00:00,EMERAM B&M CONTINUATION FUND GMBH & CO. KG,DE8171265473,DE,bank,,,98866.554,137873.3,151156.211,,bank,CRD_IV
MENORCA DEBT HOLDINGS DESIGNATED ACTIVITY COMPANY,No,No,No,No,IE,6612.0,IE591378,K - Financial and insurance activities,,"Banking, Insurance & Financial Services",,,6702.092,10586.208,18247.948,16229.623,,,,,,,C1,,,Private limited companies,2016-10-18 00:00:00,,,,bank,,,28851.51,35392.731,38062.757,68147.52,bank,CRD_IV
KAS HOLDING MOLDRUP APS,No,No,No,No,DK,6430.0,DK27461220,K - Financial and insurance activities,,"Banking, Insurance & Financial Services",,,,,,,86.0,,83.0,,,,C2,www.kasbiler.dk,,Private limited companies,2003-11-27 00:00:00,KIM RONNING CHRISTENSEN,DKCP1234821,DK,bank,,7470.53345126419,6893.69502010694,,,,bank,CRD_IV
ROBAJO HOLDING APS,No,No,No,No,DK,6499.0,DK29194270,K - Financial and insurance activities,,"Banking, Insurance & Financial Services",,,,,,,47.0,47.0,,,,,C2,robajo-holding-aps.hegelsvej-8.charlottenlund.cvr-virk.dk,,Private limited companies,2005-11-21 00:00:00,MR FLEMMING ZWICKI BLICHER,DKCP1505448,DK,bank,16199.6491567413,16084.6162805147,,,,,bank,CRD_IV
